x,y,z
258,186,1
285,146,5
208,90,155
54,292,7
179,101,1
49,54,125
24,15,6
273,267,120
285,20,8
196,56,1
47,209,172
289,235,64
156,110,14
52,150,1
291,170,1
208,151,1
231,266,1
181,257,2
175,51,187
268,106,1
44,37,0
33,181,9
251,22,1
111,298,1
184,80,1
238,172,83
162,55,32
9,151,1139
235,11,1
202,49,1
253,26,12
281,181,19
96,122,8
142,229,11
264,100,0
14,263,62
76,160,152
116,65,124
108,148,2
278,48,2
120,45,1
14,107,5
169,3,8
89,296,0
18,129,1
26,33,1
112,190,245
233,234,366
96,17,1
193,60,1
110,91,1
253,139,185
234,60,156
85,92,244
263,10,9
268,241,6
13,136,98
266,134,15
30,94,15
173,185,14
140,86,4
69,49,79
265,44,618
36,77,8
88,280,1
191,77,1
136,57,394
210,273,1
104,217,146
125,270,4
258,64,81
167,27,15
161,156,1
202,245,220
106,271,257
281,36,1
187,153,7
98,190,120
248,297,44
259,201,112
284,286,13
168,270,123
191,259,8
99,126,1
198,225,533
195,270,3
1,60,1
260,251,1
276,20,269
191,189,42
155,9,9
296,258,1
36,139,15
135,119,88
100,179,111
295,281,15
214,70,323
8,213,38
76,59,5
220,178,30
226,173,45
64,26,13
44,262,1
92,156,27
132,121,5
58,125,1
221,101,9
129,281,1227
152,230,1
136,119,1
287,187,1
74,178,24
12,82,56
50,55,331
298,118,137
297,151,312
293,216,14
155,173,4
135,98,1
15,55,1
146,146,1
64,27,1
60,224,74
56,104,1
6,32,253
199,146,1
101,22,1
59,0,1
66,59,3
151,271,3
16,57,1
163,54,1
87,249,1
265,194,87
258,61,14
237,60,164
254,144,233
258,234,7
107,145,18
8,214,164
275,287,14
162,86,168
85,86,4
122,32,166
33,215,182
161,256,14
180,9,14
74,161,13
40,274,1
90,278,101
265,77,0
184,244,1
182,211,200
141,172,11
112,218,327
210,168,1
27,194,13
156,217,167
265,186,168
48,299,140
143,64,1
104,207,1
241,201,12
123,26,0
199,194,178
179,135,17
36,27,14
138,139,95
107,173,51
166,218,137
166,20,194
44,56,343
192,130,1
54,224,99
266,182,1
196,203,4
38,204,42
247,150,6
109,55,1
116,241,143
280,80,1
29,142,110
78,154,1
224,104,12
102,88,13
37,239,15
125,173,182
14,95,3
34,239,1
218,217,386
75,258,45
120,183,1
238,185,13
42,48,224
247,135,152
30,167,1068
248,134,8
69,114,341
226,210,1
126,49,15
253,101,134
290,271,9
145,191,10
217,189,1
67,9,1
111,165,1
70,253,8
60,253,14
281,242,1
36,269,14
247,24,212
270,27,1
271,152,8
157,195,1
94,226,151
238,175,94
170,58,1
140,222,108
55,226,14
62,275,11
11,201,8
278,18,1
255,246,1
266,138,158
18,157,1
208,138,201
66,202,305
161,291,157
241,292,248
211,237,6
71,265,7
36,184,115
154,297,496
268,252,3
178,31,1
237,51,4
281,295,3
231,203,1
39,265,179
199,253,2
104,264,2
41,256,100
138,90,1
242,59,251
150,12,264
22,94,8
129,237,33
260,15,13
118,68,0
153,196,9
228,153,8
299,299,75
135,142,1
69,64,4
262,30,145
59,154,10
275,179,246
166,275,1
150,29,1
79,40,1
113,153,1
36,264,376
5,221,2
89,120,43
297,246,66
12,144,327
83,61,6
25,246,13
248,14,233
161,196,805
168,295,78
48,173,312
183,59,1
36,125,133
37,169,285
197,28,113
294,198,53
241,118,1
212,208,190
248,198,1
192,54,122
208,92,2
139,234,31
86,96,6
45,59,7
78,78,57
31,26,1
8,104,227
59,203,39
172,109,0
245,77,1
215,0,395
283,95,1
147,162,137
62,139,1
2,16,6
198,291,11
162,65,1
58,86,1
0,206,2
226,224,0
155,32,29
95,229,1
294,24,44
255,137,1
141,284,295
109,91,1
29,87,141
189,242,1
15,189,171
149,94,1
291,27,2
269,292,1
206,39,1
222,21,313
44,77,192
121,165,13
169,113,118
164,217,5
49,106,318
213,254,213
112,195,7
47,155,6
236,62,1
156,247,12
241,109,359
81,21,2
100,54,20
175,116,1094
97,164,1
226,110,31
43,165,1
84,128,149
126,186,391
139,198,243
289,36,238
106,128,10
52,187,1
247,246,93
208,28,360
54,294,74
102,173,75
134,260,1
194,49,93
164,146,228
86,243,61
268,65,52
56,191,1
13,170,20
218,10,1
5,53,1
69,298,15
280,102,0
32,245,8
182,40,11
274,230,99
48,119,20
279,185,79
126,291,1
131,106,117
152,4,1
123,155,30
276,280,1
248,38,15
244,65,709
58,90,4
75,28,35
137,169,299
191,235,186
260,231,6
248,239,396
295,115,56
130,75,206
16,179,267
97,9,73
94,64,13
41,36,374
57,155,1
288,73,118
269,142,8
186,164,1
138,51,10
99,218,13
24,38,173
242,258,12
146,127,12
296,275,1
43,51,1
227,274,8
136,69,26
30,171,195
244,215,19
164,213,196
60,297,14
49,265,1
9,102,323
116,172,14
78,209,187
127,276,1
81,274,134
106,297,177
8,215,74
198,170,1
25,197,15
22,219,203
221,88,11
104,145,94
261,293,1
44,54,1
24,234,1
227,236,679
247,291,1
218,246,1
131,253,1
82,166,1
253,9,231
143,64,30
246,138,6
195,74,203
67,71,1
46,156,32
81,79,1
18,140,136
213,240,262
61,83,1
113,297,4
186,285,2
175,83,6
113,256,613
258,177,295
173,221,16
263,189,3
105,250,1
169,57,240
13,1,270
235,247,103
150,30,238
298,225,1
119,293,371
181,132,763
254,1,15
277,168,163
186,148,1
299,55,1
125,269,1
112,152,1
116,296,1
175,206,2
296,146,1
249,177,291
105,107,13
124,267,98
181,113,1
25,171,196
120,151,229
262,294,239
242,266,127
60,69,12
290,21,244
263,30,1
269,194,144
241,38,157
246,41,6
98,32,6
3,94,41
163,203,3
243,292,1
167,50,175
86,23,692
274,165,8
228,228,1
182,283,348
132,86,1
0,104,1
282,105,1
43,11,11
268,221,81
35,105,6
108,30,166
114,162,12
148,10,11
76,1,243
237,244,119
0,105,1
215,170,62
197,155,54
147,58,148
283,78,1
7,160,1
15,286,1
109,249,113
109,129,1
80,248,12
201,99,126
218,0,167
16,63,1
196,32,84
184,9,1
52,115,11
292,57,123
56,164,386
98,174,229
239,31,46
58,183,96
58,168,11
170,59,85
279,163,15
8,85,15
99,173,1
40,238,63
142,278,58
209,95,1
205,289,10
172,194,1
236,125,1
239,23,215
15,184,127
132,43,309
158,67,1
285,52,39
39,10,7
277,87,7
258,25,384
285,170,206
282,264,51
2,138,138
7,34,1
54,135,1
139,48,0
210,147,1
141,79,1
56,241,80
126,163,197
178,141,10
21,92,1
138,113,7
251,166,1
203,16,1
248,271,6
120,147,1
131,164,1
288,294,1
204,131,182
177,169,15
254,235,6
254,251,1
143,80,485
114,284,118
124,45,164
199,11,1
214,55,148
153,216,10
208,162,203
281,230,126
68,88,80
273,70,0
260,145,1
203,1,125
9,135,3
181,67,254
204,74,9
60,238,14
117,67,1
253,283,331
55,40,1
133,288,162
255,189,1
139,62,127
208,293,33
166,142,8
46,126,4
230,126,136
119,143,127
87,1,1
185,267,263
205,244,340
221,27,8
8,33,26
25,163,206
199,201,8
151,152,82
116,97,198
86,286,253
155,126,198
29,136,20
7,156,76
219,41,1
200,17,1
175,269,1
47,73,127
283,99,9
267,24,1
72,203,4
191,66,231
142,128,220
85,276,114
215,101,1
91,289,236
16,46,10
63,31,153
239,275,4
5,154,1
21,87,1
90,9,135
183,135,137
297,59,1
128,142,9
239,90,1
57,204,14
129,180,0
84,236,15
192,246,234
23,269,1
70,293,13
230,133,213
128,172,1
279,249,5
77,124,51
274,74,1
11,156,1
110,253,1
272,77,321
77,264,1
54,164,2
69,110,5
251,135,10
292,113,0
20,75,302
243,99,203
65,223,1
30,142,2
195,283,99
221,111,15
232,200,1
183,107,114
190,143,13
142,285,85
27,279,3
204,203,313
36,272,1
181,44,6
149,295,110
30,181,179
98,157,254
79,11,150
75,217,1
36,212,1
198,16,38
230,9,317
230,20,7
57,22,160
211,129,13
253,239,59
205,52,1
179,81,0
198,250,158
121,174,97
198,197,11
116,54,10
193,52,143
14,272,91
105,5,13
90,188,107
79,34,211
248,138,34
117,48,366
155,267,115
73,171,90
76,292,168
6,85,88
251,133,3
58,100,1
219,158,82
107,259,1
53,102,1
257,233,1
220,213,8
50,153,10
235,84,10
209,59,13
264,166,124
112,154,128
50,270,379
183,32,5
262,95,338
155,207,0
104,160,134
88,171,35
121,75,398
298,50,1
211,77,1
291,266,74
117,63,1
238,207,209
248,86,142
70,31,0
242,221,3
283,261,14
161,266,62
53,44,312
13,102,246
119,177,1
90,7,20
5,2,15
45,56,51
193,290,1
67,261,307
202,121,432
132,195,1
6,205,1
282,258,12
195,161,1
188,56,235
278,96,1
88,209,0
204,114,162
118,130,347
57,299,1
134,74,84
250,51,58
5,128,1
52,26,226
284,17,149
272,51,151
240,196,227
171,52,7
288,19,42
157,30,31
196,8,69
79,123,1
126,55,299
68,269,148
254,19,9
153,240,1
134,232,8
298,104,1
107,156,938
117,37,366
285,237,328
21,131,132
150,125,0
83,135,4
260,223,215
149,275,234
229,176,1
215,247,4
172,50,1
90,267,1
167,39,360
211,74,3
68,255,15
17,83,347
126,298,15
63,156,86
83,79,139
39,42,1
147,80,108
61,5,189
60,46,244
88,118,42
275,277,11
34,98,5
278,272,4
207,272,169
222,237,13
197,202,1
173,245,8
22,261,10
226,291,0
243,42,2
36,84,9
219,2,89
137,125,1
28,280,145
47,83,1
259,61,53
248,298,1
44,175,206
166,17,81
101,288,119
256,205,8
101,94,119
293,125,7
227,144,207
152,120,88
156,125,1
53,140,2
156,289,1
177,29,165
215,32,350
199,15,1
106,150,330
136,205,24
266,163,53
22,249,464
83,101,52
270,60,1
194,41,50
238,275,297
278,276,9
75,55,5
11,71,206
39,175,230
236,141,1
134,18,37
125,231,1
248,191,25
27,174,1
65,250,238
271,59,288
167,2,243
6,197,251
277,291,8
92,208,1
53,22,272
204,51,11
229,116,1
169,101,234
230,10,5
76,186,105
14,192,1
258,35,9
10,226,1
204,57,282
75,265,1
156,252,1
186,82,40
14,250,86
147,52,7
257,290,14
106,39,1
65,221,150
91,81,9
61,294,9
80,279,148
10,36,1
83,96,1
227,264,1
73,184,1
128,157,1
59,108,1
125,234,367
3,114,1
286,238,13
101,61,163
25,59,1
234,286,14
157,49,1
190,128,376
190,209,763
132,77,187
44,13,1
135,107,726
79,141,128
103,97,107
115,213,1
119,60,334
110,53,1
216,298,228
148,268,112
34,234,5
177,247,15
153,148,108
34,216,1
247,171,1
202,113,1
296,184,217
253,248,1
29,72,1
131,102,1
292,111,14
298,214,1
164,24,1
106,210,1
149,60,1
212,299,1
132,20,1
299,243,1
163,228,252
41,169,73
219,74,138
34,241,245
159,89,14
92,29,12
91,17,138
126,170,1
161,110,104
130,118,291
246,74,1
112,204,121
119,272,273
243,218,1
238,142,527
282,119,5
67,5,1
68,264,360
27,8,6
211,46,11
130,53,1
165,233,227
237,194,1
27,257,15
172,268,81
298,259,1
37,266,5
123,146,132
174,136,15
146,252,8
110,192,1
155,135,1
131,241,210
94,198,113
218,142,1
243,106,1
168,274,214
259,79,5
122,9,1
54,193,39
244,87,9
252,211,196
278,271,125
33,195,167
51,37,25
43,108,1
127,245,1
277,225,89
66,11,812
275,165,15
13,211,188
200,132,146
19,290,115
183,182,110
125,97,72
160,22,1
191,41,1
20,252,7
30,148,41
269,288,48
278,275,245
50,272,13
128,148,202
78,291,8
213,209,87
10,65,7
200,251,180
79,290,69
132,172,183
195,4,14
77,39,4
270,207,46
41,273,1
259,295,8
141,297,195
189,226,9
199,50,157
258,92,1
286,172,130
36,246,113
218,108,157
216,172,144
30,101,1
30,112,236
86,69,180
275,254,3
135,108,12
260,139,1
83,45,40
126,131,1217
234,62,66
202,255,12
178,156,205
167,101,154
202,64,83
149,196,66
191,83,54
69,34,45
179,246,315
173,150,2
219,212,1
12,126,1
68,63,29
267,240,156
291,120,249
167,180,1
253,142,156
276,64,1
247,79,1140
94,23,1
232,50,1
76,2,94
284,193,1
65,102,7
59,165,139
291,3,216
82,125,193
206,208,305
136,252,1
72,50,1
144,216,6
6,89,1113
294,164,14
162,253,340
132,240,52
143,253,174
230,199,5
296,263,3
60,234,1
113,262,1
39,1,1
40,44,1
152,150,4
70,136,1
24,192,260
0,171,72
153,218,171
184,100,1
79,233,1
212,87,91
149,299,1
272,144,1
260,272,84
71,207,233
274,89,205
220,62,556
105,48,8
90,190,13
85,94,228
81,16,187
192,63,14
219,66,1
193,215,380
293,60,199
42,0,108
98,264,0
224,0,132
185,85,105
107,34,390
64,275,31
182,59,46
249,198,49
272,230,58
205,233,1
210,296,169
77,146,347
30,296,47
69,124,2
164,195,0
36,222,1
39,91,540
223,267,9
245,253,1
35,119,1
139,159,1
41,296,6
24,118,801
175,201,157
168,180,1
43,186,1
57,108,103
171,11,1
161,251,1
257,67,185
219,134,9
256,165,52
78,276,1
41,48,7
158,98,93
80,175,4
120,91,16
109,68,1
293,6,251
95,199,1
65,78,1
149,149,88
121,259,40
263,58,11
207,206,1
277,173,1
104,12,1
23,46,1
273,22,232
222,251,1
132,154,134
27,12,212
224,134,235
274,65,1
272,177,337
8,132,86
177,98,9
78,60,221
87,163,165
36,97,1
147,232,1
98,17,1
51,2,221
115,15,1
299,193,13
12,60,1
261,9,58
92,76,1
69,219,201
269,173,210
176,138,232
157,294,11
18,62,14
200,131,206
73,122,99
96,277,129
46,238,67
82,120,56
222,221,809
172,94,10
259,211,243
5,55,197
102,262,314
141,167,91
212,102,1
10,179,1
269,217,3
50,35,120
105,132,1
45,185,282
17,74,1
251,7,680
57,218,1130
166,277,380
141,143,198
258,297,5
183,42,1
199,297,5
63,149,1
283,94,1
99,138,105
253,282,155
75,99,206
79,275,12
236,128,1
200,284,74
9,106,9
135,229,10
284,246,224
241,74,90
280,117,1
290,211,1
60,285,256
267,238,231
223,137,1
133,94,4
284,270,1079
159,29,13
154,117,1
291,50,7
184,216,5
185,193,212
154,279,1
280,211,13
199,231,76
53,48,3
75,227,1
132,120,158
271,63,1
191,191,218
226,165,98
186,47,1
200,218,1
269,52,12
243,220,357
143,77,248
147,70,5
59,229,1
2,290,220
202,162,197
73,216,209
12,245,64
49,233,5
253,76,1
227,133,14
109,217,187
96,110,185
161,39,1
16,284,1
112,33,1
207,1,178
55,238,231
294,80,1
237,278,8
187,114,99
67,216,1
123,179,200
48,186,162
180,228,60
227,282,198
297,46,243
237,122,1138
133,140,0
204,77,1
27,255,1
52,189,1
184,131,175
14,262,1
108,203,1
22,161,85
87,122,1
33,262,31
286,138,54
3,292,136
163,82,220
96,297,9
289,96,15
206,115,3
21,222,204
18,42,122
152,47,46
235,215,251
232,128,1
5,239,1
117,275,7
204,17,1
247,50,8
268,91,1
51,257,149
56,64,188
274,141,4
21,165,1
271,47,5
44,31,1
228,257,60
32,242,127
214,60,1
112,166,4
68,32,5
66,214,1
35,288,1
155,246,1
6,195,1
166,257,4
21,54,382
78,171,1
234,252,1
250,40,1
54,45,15
241,221,252
284,282,199
4,298,14
57,176,3
240,169,182
131,23,1
210,18,0
178,112,5
41,204,217
3,209,103
293,78,133
52,82,918
97,78,1
5,64,220
112,272,116
19,20,5
9,249,149
269,4,11
234,65,116
91,220,15
78,84,1
288,213,14
61,249,5
281,99,9
206,91,0
232,74,1
1,142,43
260,47,244
192,8,233
275,23,15
160,239,1
229,157,10
236,278,1
170,89,206
207,280,857
76,6,32
162,213,70
243,268,1
224,160,14
122,262,15
22,73,169
101,269,162
11,138,9
73,97,6
294,170,120
224,224,252
133,14,0
75,191,1
268,257,14
113,206,254
205,133,232
113,111,15
88,172,1
224,241,249
175,168,87
233,110,7
69,230,937
108,75,255
50,164,387
164,73,7
13,196,0
240,143,1
142,163,246
118,253,1
272,271,95
261,95,4
55,94,4
114,124,1
272,274,1
238,61,249
203,124,1
103,53,191
147,58,1
68,96,960
126,148,8
237,141,105
89,24,14
113,43,1011
227,263,15
171,156,345
192,282,291
16,73,249
134,49,33
77,251,363
15,208,1
7,106,102
127,56,192
32,139,1
106,124,7
186,83,244
131,276,6
253,257,159
173,224,1
117,146,1
7,242,44
115,209,19
255,155,1
53,288,260
22,162,1
280,178,1
191,137,270
235,147,147
135,39,211
154,18,111
262,2,60
85,212,195
172,170,2
177,215,1
59,292,125
217,56,167
142,133,10
211,186,32
283,216,101
25,219,1
140,15,226
188,255,680
286,216,1
98,8,217
108,288,205
57,175,1
90,172,1
60,225,1
239,97,1
65,236,343
219,185,12
42,126,79
121,273,15
291,50,168
156,252,122
186,122,234
223,299,10
48,7,45
105,50,137
170,197,1
137,178,1
154,218,1
170,153,184
247,129,1
236,29,27
43,129,238
1,26,44
64,198,12
232,97,7
290,232,1
90,213,224
251,112,1
114,73,219
224,210,245
213,79,3
114,258,10
124,63,311
89,110,11
26,35,1
85,146,37
273,122,358
206,128,340
90,160,186
236,175,1
112,84,11
135,215,15
41,113,23
174,240,115
149,89,44
181,226,113
246,203,192
127,223,15
179,97,233
138,17,14
199,271,7
169,16,110
133,44,381
73,294,1
232,33,369
282,79,9
286,85,1
4,136,298
108,269,154
200,229,1
41,86,18
170,13,1
65,278,3
237,15,332
211,72,67
261,36,342
78,140,6
209,52,133
296,141,1
64,124,18
255,266,1
158,182,181
67,3,640
187,75,1
66,196,108
145,252,1
263,100,1
62,5,7
283,221,1
249,133,8
233,129,1
253,129,289
266,72,239
6,171,1
113,45,57
205,65,5
268,139,5
243,10,236
120,34,102
243,97,7
35,159,1
151,16,6
76,275,148
109,27,1
87,210,1
278,184,27
200,149,295
140,241,347
186,177,7
130,64,200
139,259,204
282,229,177
194,7,11
123,225,4
101,291,11
41,227,0
249,115,8
182,93,1
51,72,96
102,277,1
13,289,15
231,264,19
209,192,66
9,198,306
222,167,1
8,93,1
79,50,1
223,65,8
215,232,1
182,206,247
5,225,1
286,90,210
163,176,1
11,85,1
203,242,36
24,15,242
83,283,2
190,167,148
152,251,82
72,260,80
175,118,5
18,267,1
2,146,245
243,10,219
262,73,243
29,145,11
172,21,1146
9,56,15
3,143,1
139,178,13
13,276,131
196,265,238
258,124,163
222,264,1
291,197,104
231,177,330
7,139,12
248,229,1
260,52,1
236,291,99
229,274,0
235,153,172
168,213,151
202,10,233
29,201,1
183,258,11
269,268,10
45,283,130
260,196,12
14,35,1
78,231,634
218,299,1
242,279,2
194,134,278
106,48,398
169,299,8
96,167,4
78,69,1
99,192,1
208,2,1
199,239,5
26,47,15
181,90,9
54,41,2
211,113,670
169,220,98
230,30,2
98,98,1
143,226,7
37,271,6
13,133,0
229,34,14
8,283,12
10,169,1
96,24,1
206,66,39
129,292,1
82,294,73
72,281,12
71,16,93
296,176,225
116,20,15
155,208,11
149,37,1
241,191,9
40,124,10
297,34,175
154,147,52
181,108,0
54,260,1
267,52,384
111,231,126
262,213,1
75,217,146
7,252,1
65,148,5
83,195,90
171,53,1
125,265,245
36,178,198
96,183,252
277,102,1
297,87,1
105,13,7
228,141,1
260,12,126
41,71,195
192,293,181
107,252,1
167,272,4
223,148,3
228,295,26
92,124,123
276,142,1
99,62,618
208,127,7
180,206,1
149,251,117
168,31,37
161,260,10
78,294,2
160,76,58
15,129,1
76,203,8
49,236,316
113,70,2
25,202,73
282,1,1
8,49,84
229,42,1
106,81,1
208,22,194
214,208,250
10,250,228
121,246,6
119,217,1
35,33,263
137,287,61
66,69,4
44,53,1
186,119,157
286,288,218
113,240,5
126,232,77
152,111,4
231,187,3
1,28,1
153,135,239
158,38,42
100,197,1
63,204,217
162,238,282
79,225,1
141,288,216
61,212,7
229,272,8
29,267,1
20,157,135
179,8,8
196,226,1
79,148,11
15,235,1
32,141,2
101,175,1
192,199,71
11,63,15
180,230,1
2,105,7
101,88,1045
18,27,1
272,22,134
118,280,1
226,7,1
42,44,12
242,100,13
122,118,1
123,47,1
125,110,391
285,153,15
10,251,15
107,157,11
240,128,0
266,78,10
55,231,1
253,21,85
182,7,138
291,192,14
45,44,73
287,104,142
59,227,1
96,171,8
294,163,79
134,267,1
206,140,1
153,178,201
277,40,126
89,234,1
192,225,1
244,75,210
202,111,10
156,267,1
194,292,180
149,205,7
55,257,13
178,41,193
66,157,75
151,6,7
55,156,216
249,85,41
191,206,1
276,82,159
297,168,147
254,120,5
285,52,165
236,17,3
108,237,49
10,272,1
40,175,1
133,209,12
26,298,229
156,163,128
2,165,1
56,112,364
66,213,1
62,88,11
140,75,1
236,162,124
20,98,14
166,234,1
110,66,189
284,223,385
216,211,1
118,120,128
273,225,1
195,34,666
85,145,10
234,25,1
203,147,1
248,207,366
99,201,62
45,153,87
114,153,96
283,66,584
55,110,5
155,173,1
99,194,1043
211,254,1
118,169,1
121,234,9
227,85,1
108,254,3
86,180,14
292,56,1
185,157,83
10,192,102
71,91,1
101,8,0
71,184,352
248,24,12
147,285,192
191,177,196
153,19,3
30,126,1
169,213,1
43,202,1
221,229,1
258,233,1
157,217,139
54,279,11
238,291,1
229,194,1
201,137,181
15,295,7
236,185,12
205,133,1
275,163,8
158,210,301
242,232,2
221,194,160
234,174,0
227,20,1
271,26,3
224,91,62
163,64,10
252,35,174
293,139,13
239,85,329
194,179,39
241,35,125
95,206,6
239,145,113
204,58,202
151,250,113
89,107,117
277,285,33
71,53,1
165,231,1
29,58,383
290,283,126
206,88,146
141,178,297
157,83,552
223,143,5
7,167,1
124,32,1
227,254,1
56,67,367
69,183,1
110,30,218
231,228,2
80,81,143
223,256,362
286,184,1
279,272,75
46,184,211
56,5,15
232,94,178
231,97,89
101,106,108
217,169,174
86,168,13
132,263,2
194,29,385
31,276,9
296,84,31
257,263,912
186,121,6
63,18,129
228,215,1
65,38,130
189,100,1
248,18,1
201,200,310
226,148,10
268,44,984
114,203,43
154,79,228
223,285,151
243,129,1
54,178,14
285,46,96
23,240,68
3,20,1
62,148,8
268,209,195
247,222,10
296,159,1
245,167,1
30,21,5
39,254,1
216,150,213
263,148,328
227,229,1
4,77,214
97,50,1
202,41,323
269,190,177
81,182,94
289,49,71
39,191,43
111,108,88
7,64,217
190,48,4
251,289,7
83,164,1
149,116,15
264,12,6
215,155,7
38,71,114
85,125,1
261,155,9
2,274,0
50,273,15
127,240,292
164,275,1
96,129,89
171,52,8
19,135,219
59,64,133
245,224,245
92,82,15
221,105,162
6,132,38
287,276,215
258,180,8
46,71,14
259,240,145
140,96,1
83,191,1
71,127,1
148,164,156
201,117,1
155,207,6
63,112,1
102,153,353
76,199,71
266,219,208
48,188,13
288,225,12
221,26,11
48,70,65
116,279,180
176,164,18
120,167,1
85,285,1
219,3,13
199,0,10
51,2,1
28,2,291
41,111,1
292,249,1
247,202,99
162,55,311
235,251,3
5,23,95
202,190,10
6,0,10
148,110,9
192,49,94
207,91,258
59,205,254
154,11,1
256,177,1
11,243,132
93,95,1
208,6,1
197,46,13
136,263,2
221,239,191
108,292,86
94,184,94
260,24,107
220,102,19
87,190,10
161,76,132
250,66,13
115,83,1
127,203,1
195,266,0
210,98,0
139,163,196
30,56,15
63,204,253
46,34,72
66,132,1
205,259,217
204,52,238
40,273,1
51,77,1
22,34,82
57,287,610
109,204,2
186,178,1
275,99,208
19,161,38
160,34,1
224,150,101
260,92,1
189,260,398
116,148,1
56,61,184
98,258,1
255,190,312
226,251,8
224,160,25
171,14,12
149,140,811
101,55,1
129,155,6
121,187,20
195,37,1
256,179,1
180,60,107
80,241,1
81,101,1
27,59,1
153,108,12
178,83,58
283,115,186
244,245,6
211,124,194
251,79,1092
146,6,1
135,223,1
182,100,189
20,263,9
203,11,280
152,101,6
224,195,14
230,22,40
79,36,22
278,210,113
19,277,15
229,95,1
78,34,221
103,130,18
287,266,164
32,203,89
228,257,133
119,128,1
237,90,302
44,233,165
59,174,12
208,52,7
243,223,188
150,271,3
217,270,22
72,135,1
44,85,1
66,63,51
25,144,595
168,274,11
119,192,224
14,190,56
73,290,1
202,183,8
31,271,6
72,166,1
104,170,205
209,74,244
160,157,253
183,35,1
198,295,14
19,234,1
42,29,137
76,232,1
49,100,3
164,71,13
270,39,1
126,46,43
10,157,1
166,268,19
138,283,7
237,110,13
6,24,1
73,150,1
36,252,1
197,24,1
158,291,9
42,90,149
105,94,1
243,64,9
125,152,1
156,111,160
189,43,305
103,64,99
244,199,136
7,65,1
19,16,359
188,102,107
207,106,1
251,131,1
34,244,383
207,14,1
144,34,1
20,201,1
217,215,124
210,175,110
61,48,1
234,202,1
203,18,1
266,260,12
85,181,1
243,233,4
297,0,7
96,79,174
233,127,5
174,210,4
77,74,14
299,185,124
120,61,1
226,286,190
12,146,1
146,15,24
67,111,1
242,113,2
153,233,5
63,268,328
202,159,1
31,108,37
123,222,5
280,186,1
47,208,52
21,8,0
214,244,310
279,6,5
86,273,374
114,229,1
178,22,119
173,102,175
180,244,11
18,148,12
